date,time,vendor,type,earnings_usd,tip_usd,delivery_time,distance
May 21,8:51 AM,DashMart,Delivery,4.25,,,
May 21,8:51 AM,Dick's Sporting Goods + CVS,Delivery,25.20,,,
May 21,8:51 AM,DashMart,Delivery,11.50,,,
May 21,10:55 AM,Pura Vida Miami Edgewater,Delivery,3.45,,,
May 22,1:20 PM,ICON Mediterranean + The Taco Stand,Delivery,16.90,,,
May 22,2:15 PM,Ohho Noodles Market,Delivery,12.90,,,
May 22,2:15 PM,Subway,Delivery,7.95,,,
May 23,11:09 AM,Wendy's,Delivery,5.05,,,
May 23,11:09 AM,CVS,Delivery,7.70,,,
May 23,5:48 PM,Motek Cafe,Delivery,18.64,,,
May 23,5:48 PM,Chipotle,Delivery,9.45,,,
May 12,7:10 PM,CVS,Delivery,17.55,,,
May 12,7:50 PM,Dave's Hot Chicken,Delivery,6.45,,,
May 12,7:50 PM,Salt & Straw Wynwood,Delivery,10.50,,,
May 13,5:54 PM,Dave's Hot Chicken + Night Owl Cookies,Delivery,8.90,,,
May 13,,Naked Farmer - Miami,Delivery,11.01,,,
May 13,8:04 PM,Starbucks,Delivery,4.25,,,
May 17,2:01 PM,7-Eleven Beer Wine & Spirits,Delivery,9.45,,,
May 17,2:01 PM,Dollar General + Palo Quemao Miami,Delivery,20.45,,,
May 17,2:01 PM,Devia Juice Bar,Delivery,8.10,,,
May 17,3:37 PM,Dave's Hot Chicken,Delivery,6.75,,,
May 17,3:37 PM,Target,Delivery,8.75,,,
May 17,3:37 PM,Target,Delivery,11.00,,,
May 17,3:37 PM,Sabor A Peru In Miami,Delivery,4.65,,,
May 17,3:37 PM,Papa Johns,Delivery,3.65,,,
May 17,,Unknown (detail not captured),Delivery,25.15,,,
May 7,4:46 PM,Love'N Gyros,Delivery,8.90,,,
May 7,5:08 PM,Pet Supermarket,Delivery,7.75,,,
May 10,,Unknown (partial OCR),Delivery,42.30,,,
May 10,6:01 PM,KFC + The Cheesecake Factory,Delivery,22.40,,,
May 10,6:01 PM,Don Burrito,Delivery,13.15,,,
May 10,,CVS + Little Caesars,Delivery,17.55,,,
Apr 28,,Unknown (detail not captured),Delivery,34.05,,,
Apr 28,5:17 PM,Checkers,Delivery,13.45,,,
Apr 29,,Unknown (detail not captured),Delivery,26.00,,,
Apr 29,12:59 PM,The Taco Stand,Delivery,10.00,,,
Apr 30,,Unknown (detail not captured),Delivery,26.34,,,
May 1,10:55 AM,Starbucks,Delivery,2.45,,,
May 1,10:55 AM,Chipotle,Delivery,6.45,,,
May 1,10:55 AM,Chipotle,Delivery,4.20,,,
May 1,,Unknown (detail not captured),Delivery,17.97,,,
Apr 22,,Unknown (detail not captured),Delivery,30.49,,,
Apr 23,6:00 PM,Jon and Vinny's,Delivery,28.33,,,
Apr 23,6:00 PM,Prime After Dark,Delivery,5.11,,,
Apr 23,6:00 PM,Smoothie King,Delivery,9.76,,,
