date,time,vendor,type,earnings_usd,tip_usd,delivery_time,distance
"Fri, May 22",9:51 PM,Pollo Tropical 3499 Biscayne Blvd,Delivery,4.25,2.25,34 min 34 sec,2.67 mi
"Fri, May 22",9:12 PM,Pizza Hut 3214 NE 2nd Ave,Delivery,7.70,6.20,26 min 36 sec,2.06 mi
"Fri, May 22",9:09 AM,Starbucks N Miami NE 20th,Delivery,6.71,4.71,15 min 41 sec,2.19 mi
"Fri, May 22",9:01 PM,Italica Pizza Empanadas Midtown,Delivery,7.01,5.51,27 min 53 sec,2.01 mi
"Fri, May 22",8:53 PM,Midtown Boba And Ice Cream,Delivery,3.71,1.71,10 min 44 sec,0.55 mi
"Fri, May 22",6:51 PM,Sushi Sake MIMO,Delivery,13.88,11.88,15 min 47 sec,2.39 mi
"Fri, May 22",6:26 PM,Pizza Hut 8900 Biscayne Blvd,Delivery,11.66,9.66,18 min 24 sec,2.53 mi
"Fri, May 22",5:47 PM,Chick-fil-A 9190 Biscayne Blvd,Delivery,5.49,2.00,23 min 25 sec,3.09 mi
"Fri, May 22",5:18 PM,Dogma Grill,Delivery,8.00,6.00,21 min 3 sec,3.23 mi
"Fri, May 22",4:59 PM,Smash Bros,Delivery,7.97,5.97,18 min 46 sec,2.29 mi
"Fri, May 22",10:28 PM,Serafina Downtown,Delivery,9.44,processing,39 min 6 sec,4.81 mi
"Fri, May 22",10:08 PM,Fireman Dereks Bake Shop Wynwood,Delivery,5.77,3.85,22 min 16 sec,2.79 mi
"Thu, May 21",7:19 PM,Palo Quemao Downtown,Delivery,11.05,8.05,25 min 45 sec,3.45 mi
"Thu, May 21",6:53 PM,Carrot Express Downtown,Delivery,2.57,,22 min 15 sec,2.15 mi
"Thu, May 21",6:50 PM,Pura Vida Miami Edgewater,Delivery,8.42,6.42,27 min 22 sec,2.95 mi
"Thu, May 21",6:20 PM,Sushi Sake Biscayne,Delivery,5.50,4.00,19 min 38 sec,2.83 mi
"Thu, May 21",6:09 PM,Papa Johns Pizza 2877 Biscayne,Delivery,4.10,,16 min 14 sec,2.35 mi
"Thu, May 21",5:38 PM,Tacos Atarantados Wynwood,Delivery,7.06,0.50,24 min 43 sec,2.44 mi
"Wed, May 20",9:22 PM,Motek Midtown,Delivery,7.00,5.00,26 min 56 sec,3.42 mi
